experiment,instrument,run,spots,bases,size,published
ERX714232[accn],Illumina MiSeq,ERR771057,"2,197,759",700.6M,376.6Mb,2015-03-04
ERX714232[accn],Illumina MiSeq,ERR771057,"2,197,759",700.6M,376.6Mb,2015-03-04
ERX714223[accn],Illumina MiSeq,ERR771059,"1,231,827",451.1M,228.6Mb,2015-03-04
ERX714223[accn],Illumina MiSeq,ERR771059,"1,231,827",451.1M,228.6Mb,2015-03-04
ERX714224[accn],Illumina MiSeq,ERR771058,"2,147,780",804.2M,467.4Mb,2015-03-04
ERX714224[accn],Illumina MiSeq,ERR771058,"2,147,780",804.2M,467.4Mb,2015-03-04
ERX714293[accn],Illumina MiSeq,ERR771065,"1,209,281",463.6M,240.2Mb,2015-03-04
ERX714293[accn],Illumina MiSeq,ERR771065,"1,209,281",463.6M,240.2Mb,2015-03-04
ERX714250[accn],Illumina MiSeq,ERR771066,"1,334,084",507.2M,258.1Mb,2015-03-04
ERX714250[accn],Illumina MiSeq,ERR771066,"1,334,084",507.2M,258.1Mb,2015-03-04
ERX714294[accn],Illumina MiSeq,ERR771067,"1,547,784",586.9M,309.8Mb,2015-03-04
ERX714294[accn],Illumina MiSeq,ERR771067,"1,547,784",586.9M,309.8Mb,2015-03-04
ERX714253[accn],Illumina MiSeq,ERR771068,"1,610,966",635.6M,324.4Mb,2015-03-04
ERX714253[accn],Illumina MiSeq,ERR771068,"1,610,966",635.6M,324.4Mb,2015-03-04
